,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
17117,21.935683713896687,100.0,423.0,100.0,19.37809,-99.16163,1.0,1.0,1.0,30.0,365.0,30.0,30.0,365.0,365.0,30.0,365.0,,0,28,58,333,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0,0.11
17120,20.810996924758076,100.0,1200.0,96.0,19.41423,-99.15717,2.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,22,52,82,357,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,0.0,6.0,0.1,0.11
17121,21.654512016612035,100.0,948.0,99.0,19.432302,-99.178101,2.0,1.0,1.0,1.0,90.0,1.0,1.0,90.0,90.0,1.0,90.0,,10,29,59,334,2.0,2.0,0.0,3.5,4.0,5.0,4.0,4.5,5.0,3.5,22.0,2.0,20.0,0.0,0.22
17122,18.280451649196202,90.0,1975.0,87.0,19.437014,-99.152138,4.0,1.0,2.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,25,55,85,358,3.0,3.0,0.0,4.0,3.67,5.0,4.0,3.67,4.0,4.0,4.0,0.0,4.0,0.0,0.32
17123,20.810996924758076,100.0,1200.0,96.0,19.41435,-99.15843,2.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,23,53,83,358,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,0.0,6.0,0.1,0.21
17124,18.280451649196202,90.0,790.0,87.0,19.437014,-99.152138,2.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,29,59,89,360,9.0,9.0,0.0,4.33,4.44,4.44,4.56,4.56,4.56,4.33,4.0,0.0,4.0,0.0,1.04
17126,21.935683713896687,100.0,550.0,100.0,19.33942,-99.21834,2.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,21,49,79,354,15.0,15.0,1.0,5.0,4.93,4.93,4.87,4.87,4.93,5.0,2.0,0.0,2.0,0.0,1.51
17128,21.654512016612035,100.0,360.0,99.0,19.45003,-99.21224,2.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,16,46,76,350,40.0,40.0,4.0,4.95,5.0,4.95,5.0,5.0,5.0,4.95,3.0,0.0,3.0,0.0,4.2
17131,18.280451649196202,90.0,2470.0,87.0,19.437014,-99.152138,5.0,1.0,4.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,29,59,89,360,0.0,0.0,0.0,4.95,5.0,4.95,5.0,5.0,5.0,4.95,4.0,0.0,4.0,0.0,4.2
17132,18.280451649196202,90.0,888.0,87.0,19.437014,-99.152138,2.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,30,60,90,361,3.0,3.0,0.0,4.33,4.0,4.67,5.0,5.0,5.0,4.33,4.0,0.0,4.0,0.0,0.6
17137,16.87459316277294,75.0,750.0,82.0,19.41731,-99.16766,2.0,1.0,1.0,1.0,365.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,0,0,0,25,0.0,0.0,0.0,4.33,4.0,4.67,5.0,5.0,5.0,4.33,2.0,1.0,1.0,0.0,0.6
17144,19.68631013561947,95.4,240.0,92.0,19.466449737548828,-99.1424331665039,1.0,1.0,1.0,3.0,30.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,,0,0,0,118,2.0,2.0,0.0,5.0,5.0,4.5,4.5,5.0,3.5,5.0,2.0,0.0,2.0,0.0,0.46
17145,21.373340319327383,100.0,297.0,98.0,19.35147,-99.14954,2.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,28,58,88,178,8.0,8.0,0.0,4.88,4.88,4.75,4.63,4.5,4.88,5.0,5.0,1.0,4.0,0.0,0.8
17154,6.190068665956138,95.4,3000.0,44.0,19.429880142211918,-99.15309143066406,2.0,1.0,1.0,2.0,15.0,1.0,2.0,3.0,15.0,1.8,5.9,,30,60,90,365,0.0,0.0,0.0,4.88,4.88,4.75,4.63,4.5,4.88,5.0,2.0,0.0,2.0,0.0,0.8
17156,6.190068665956138,95.4,1999.0,44.0,19.42907,-99.15411,2.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,30,60,90,365,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0,0.15
17158,21.09216862204273,100.0,400.0,97.0,19.45495,-99.21067,1.0,1.0,1.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,26,52,82,82,24.0,24.0,3.0,4.75,4.88,4.96,4.75,4.79,4.79,4.79,3.0,1.0,2.0,0.0,2.49
17168,21.935683713896687,100.0,784.0,100.0,19.42938,-99.174438,2.0,1.0,1.0,1.0,30.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,15,43,73,73,62.0,62.0,4.0,4.94,4.95,4.95,4.98,4.98,4.92,4.94,5.4,0.9,16.0,0.0,6.37
17174,21.935683713896687,98.0,197.0,100.0,19.44288,-99.14026,2.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,22,52,82,357,4.0,4.0,0.0,4.75,4.5,4.5,4.75,5.0,5.0,4.5,12.0,0.0,12.0,0.0,0.43
17176,21.935683713896687,100.0,519.0,100.0,19.414175,-99.160528,1.0,1.0,1.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,26,56,331,28.0,28.0,2.0,5.0,5.0,4.89,5.0,5.0,5.0,4.96,2.0,0.0,2.0,0.0,2.78
17178,19.405138438334813,100.0,224.0,91.0,19.40867,-99.12463,1.0,1.0,1.0,1.0,15.0,1.0,1.0,15.0,15.0,1.0,15.0,,1,29,59,334,7.0,7.0,2.0,5.0,5.0,4.86,5.0,5.0,5.0,4.86,1.0,0.0,1.0,0.0,1.83
17179,19.71442730534793,100.0,427.0,92.1,19.471504,-99.207237,2.0,2.0,2.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,0,27,57,332,0.0,0.0,0.0,5.0,5.0,4.86,5.0,5.0,5.0,4.86,1.0,0.0,1.0,0.0,1.83
17183,19.12396674105016,75.0,450.0,90.0,19.424686,-99.159866,2.0,1.0,1.0,21.0,1125.0,21.0,21.0,1125.0,1125.0,21.0,1125.0,,0,0,27,117,7.0,7.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0,0.83
17185,21.935683713896687,75.0,1930.0,100.0,19.43297,-99.15454,4.0,1.0,2.0,1.0,365.0,1.0,2.0,365.0,365.0,1.0,365.0,,26,54,82,298,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,6.0,0.0,0.83
17187,21.935683713896687,75.0,500.0,100.0,19.4418,-99.15764,2.0,1.0,1.0,2.0,30.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,27,53,83,358,2.0,2.0,0.0,5.0,4.5,5.0,5.0,5.0,4.0,4.5,1.0,0.0,1.0,0.0,0.23
17190,21.373340319327383,100.0,399.0,98.0,19.358727,-99.171814,1.0,1.0,1.0,2.0,365.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,0,0,272,7.0,7.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.86,2.0,0.0,2.0,0.0,0.71
17198,16.312249768203635,90.0,490.0,80.0,19.35929,-99.27076,1.0,1.0,1.0,10.0,365.0,10.0,10.0,365.0,365.0,10.0,365.0,,0,10,40,88,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.28
17199,21.935683713896687,75.0,2218.0,100.0,19.43204,-99.15417,4.0,1.0,2.0,1.0,365.0,1.0,2.0,365.0,365.0,1.0,365.0,,24,52,80,296,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,6.0,0.0,0.28
17200,21.935683713896687,75.0,1135.0,100.0,19.43223,-99.15461,2.0,1.0,1.0,1.0,365.0,1.0,2.0,365.0,365.0,1.0,365.0,,26,54,82,298,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,6.0,0.0,1.0
17201,21.935683713896687,100.0,565.0,100.0,19.409189,-99.167007,2.0,1.0,1.0,2.0,365.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,3,28,58,333,31.0,31.0,1.0,4.68,4.77,4.81,4.81,4.9,4.81,4.68,13.0,7.0,6.0,0.0,3.1
17203,21.935683713896687,97.0,423.0,100.0,19.4066925,-99.1706031,2.0,1.0,1.0,1.0,60.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,12,41,71,161,39.0,39.0,1.0,4.69,4.77,4.85,4.79,4.64,4.9,4.67,7.0,0.0,7.0,0.0,3.94
17204,21.935683713896687,75.0,1400.0,100.0,19.43234,-99.15474,2.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,21,49,77,293,0.0,0.0,0.0,4.69,4.77,4.85,4.79,4.64,4.9,4.67,6.0,0.0,6.0,0.0,3.94
17211,19.71442730534793,75.0,700.0,92.1,19.40679,-99.170059,1.0,1.0,1.0,1.0,31.0,1.0,1.0,31.0,31.0,1.0,31.0,,30,60,90,364,0.0,0.0,0.0,4.69,4.77,4.85,4.79,4.64,4.9,4.67,1.0,0.0,1.0,0.0,3.94
17212,21.935683713896687,100.0,908.0,100.0,19.35505,-99.16312,2.0,1.0,1.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,,16,38,68,68,29.0,29.0,1.0,5.0,4.97,5.0,5.0,4.97,5.0,5.0,8.0,2.0,6.0,0.0,3.01
17222,21.935683713896687,100.0,350.0,100.0,19.39043,-99.15711,1.0,1.0,1.0,7.0,365.0,7.0,7.0,1125.0,1125.0,7.0,1125.0,,30,60,90,90,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,0.0,0.11
17223,12.65701770350315,100.0,596.0,67.0,19.4363293,-99.1635835,2.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,0.11
17232,21.935683713896687,97.0,407.0,100.0,19.4050401,-99.1746515,2.0,1.0,1.0,1.0,60.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,24,54,84,173,16.0,16.0,2.0,4.69,4.56,4.69,4.75,4.69,4.88,4.63,7.0,0.0,7.0,0.0,1.64
17233,21.654512016612035,90.0,217.0,99.0,19.39885,-99.15823,2.0,1.0,1.0,2.0,365.0,2.0,3.0,1125.0,1125.0,2.6,1125.0,,3,33,63,63,12.0,12.0,0.0,4.0,4.25,3.75,4.17,3.75,4.67,4.0,4.0,1.0,3.0,0.0,1.32
17234,21.654512016612035,90.0,300.0,99.0,19.40039,-99.15999,3.0,1.0,1.0,2.0,365.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,16,46,76,76,9.0,9.0,1.0,4.78,4.78,4.78,5.0,4.89,4.89,4.67,4.0,1.0,3.0,0.0,1.0
17240,21.373340319327383,100.0,325.0,98.0,19.39605,-99.16664,1.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,16,35,65,65,18.0,18.0,1.0,4.94,4.89,5.0,5.0,5.0,5.0,4.94,3.0,0.0,3.0,0.0,1.89
17244,21.09216862204273,100.0,406.0,97.0,19.41604,-99.17021,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,21,51,81,81,37.0,37.0,6.0,4.65,4.81,4.54,4.97,4.95,4.97,4.7,2.0,0.0,2.0,0.0,3.76
17250,21.654512016612035,100.0,1021.0,99.0,19.41384,-99.17161,2.0,1.0,1.0,1.0,30.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,9,27,52,142,69.0,69.0,4.0,4.57,4.57,4.77,4.68,4.83,4.78,4.64,2.0,0.0,2.0,0.0,7.09
17251,16.87459316277294,100.0,1800.0,82.0,19.41896,-99.15701,2.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,0,0,0,272,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,0.0,0.12
17252,21.935683713896687,100.0,650.0,100.0,19.408092407886983,-99.16156332939865,2.0,2.0,2.0,15.0,90.0,15.0,15.0,1125.0,1125.0,15.0,1125.0,,10,36,66,341,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,0.0,0.42
17256,21.935683713896687,100.0,290.0,100.0,19.36538,-99.14347,2.0,1.0,1.0,1.0,30.0,1.0,1.0,30.0,30.0,1.0,30.0,,0,0,0,0,14.0,14.0,0.0,5.0,5.0,4.93,5.0,4.93,4.93,4.93,1.0,0.0,1.0,0.0,1.43
17257,21.935683713896687,100.0,1280.0,100.0,19.38181,-99.13493,4.0,2.0,2.0,2.0,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,27,57,87,362,0.0,0.0,0.0,5.0,5.0,4.93,5.0,4.93,4.93,4.93,4.0,0.0,4.0,0.0,1.43
17258,19.96748183290412,100.0,700.0,93.0,19.305,-99.18245,1.0,1.0,1.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,,29,59,89,364,3.0,3.0,0.0,4.67,5.0,4.67,5.0,4.67,5.0,4.67,2.0,0.0,2.0,0.0,0.36
17266,5.065381876817527,83.0,600.0,40.0,19.41203,-99.16186,1.0,1.0,2.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,,29,59,89,364,1.0,1.0,0.0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,0.11
